(-5.4544,-4.8193)
(-0.0944,17.3482)
(-2.6922,-5.4976)
(-3.1675,-9.8431)
(-2.2398,-2.1199)
(2.6286,14.9590)
(1.0491,6.0785)
(7.7912,33.0833)
(9.0589,40.0454)
(-2.7208,-1.2655)
(2.5693,15.0049)
(0.4444,6.2147)
(-8.7261,-18.9258)
(-4.4375,-8.4061)
(-3.0583,-6.1821)
(5.0460,35.5583)
(-6.0052,1.2408)
(1.4230,2.6711)
(-0.9408,7.9749)
(0.2137,1.6200)
(5.8808,29.6307)
(2.8341,14.5161)
(-0.8828,18.9061)
(7.9604,38.0642)
(-7.4087,-19.0982)
(5.3507,17.9464)
(-2.0626,10.9599)
(-5.1637,-15.0106)
(-8.8927,-1.8681)
(6.6740,37.4969)
(1.9251,33.3727)
(-5.1734,-19.0325)
(-8.1945,3.0821)
(7.6658,21.3674)
(8.6553,65.0192)
(6.6884,28.8861)
(3.4109,10.3829)
(-2.9397,6.8040)
(-6.7672,-6.7334)
(-2.5072,-3.4159)
(7.9209,41.1793)
(7.9011,56.0981)
(7.7954,47.1936)
(8.8657,56.5920)
(-6.5786,-2.9685)
(7.0596,38.4399)
(2.6240,14.4656)
(5.2970,21.1982)
(4.5893,26.6161)
(-6.2742,-7.4348)
(-3.5561,21.2009)
(0.5551,-15.9873)
(-1.3810,-0.3001)
(-1.1795,1.5265)
(-1.6997,9.5207)
(-8.6909,-9.5600)
(2.0291,11.7843)
(9.9813,59.7875)
(7.2633,42.6961)
(-1.5126,12.2268)
(-1.6248,1.1561)
(9.6616,56.9876)
(-0.8519,-7.9426)
(9.4665,55.8641)
(-9.1518,2.8065)
(-9.0090,0.6686)
(-3.7936,-3.1657)
(-8.2720,-13.6738)
(9.0641,53.5184)
(-9.4652,-5.2981)
(-1.1854,4.7573)
(-1.1286,6.9592)
(4.1710,25.5278)
(0.2546,3.6587)
(6.4945,27.8931)
(-7.8551,-20.0565)
(7.5450,52.5917)
(7.6930,50.5363)
(8.9557,32.3659)
(8.3218,31.5870)
(1.3229,2.6174)
(-5.3415,13.7885)
(-8.4969,-3.1578)
(7.2661,44.9946)
(3.5768,8.7946)
(7.9569,48.4273)
(1.6045,23.5436)
(-1.9278,-18.2675)
(-9.8438,5.3579)
(6.6862,38.3028)
(8.6370,38.6493)
(-0.3708,2.5573)
(-5.8713,-10.6667)
(7.2457,42.6382)
(-5.2313,-3.0749)
(4.5047,24.4454)
(9.6416,56.9583)
(7.6213,38.0201)
(8.3940,50.3585)
(-3.8455,-10.5735)
(5.8131,28.0387)
(-0.5034,5.7633)
(-1.3970,0.4444)
(7.4359,44.1588)
(7.8647,43.4449)
(2.3469,15.0456)
(-4.1056,0.3335)
(-5.4943,-11.0084)
(-1.8163,5.7783)
(-4.3227,-4.8418)
(4.0890,31.5155)
(-0.4929,10.4680)
(-5.3052,18.3407)
(0.3229,8.8649)
(-0.4520,5.9263)
(-8.5016,19.5456)
(9.8910,53.6882)
(-8.4497,-16.3213)
(-2.3079,-3.7114)
(4.7583,24.5352)
