(0.3020,-1.1911,-3.7681,1.4092)
(0.6467,3.9214,0.3067,-5.2247)
(-0.0794,2.5805,-3.1520,-15.6252)
(-1.1510,-3.5219,-4.7334,16.9012)
(-1.9106,-1.0410,-2.9410,8.3165)
(-1.6338,-1.5128,1.1865,16.5550)
(3.5326,0.9010,-4.8377,7.9185)
(-1.0843,-4.7073,3.6072,16.7229)
(1.9931,-0.8091,-4.6336,10.8306)
(1.7625,-0.9723,4.3698,11.8222)
(4.9768,-1.7896,-4.4471,19.5216)
(-1.1533,-1.5597,-0.7800,0.4542)
(-1.4932,-1.1231,-1.5087,3.1125)
(-4.5579,-3.0710,-1.5497,3.5039)
(-1.9290,3.3982,3.0763,-5.5281)
(0.5755,-2.9819,2.4483,20.7334)
(-3.6505,-3.8291,3.7737,4.4788)
(-3.3260,1.5727,4.4822,-1.8308)
(-0.8262,-0.1532,-2.6424,4.3214)
(1.5572,4.3730,2.7110,-4.1184)
(1.3476,-4.2871,-1.4485,13.9966)
(3.7743,2.6123,-2.7813,0.3639)
(3.5731,-1.3503,1.9703,7.9165)
(2.6734,-4.7655,-3.9655,7.9542)
(2.1098,3.6124,-0.5948,-0.8504)
(-0.8659,-3.7807,4.8243,12.6718)
(4.5244,-0.4944,1.0162,15.3512)
(-1.8300,4.9334,0.4616,-16.7524)
(-4.7610,-4.7658,0.6345,8.3373)
(1.8376,-0.9613,4.2175,2.3285)
(2.4924,3.3996,-0.1214,-7.9912)
(4.3356,0.1687,-3.9315,9.0110)
(-2.0267,1.5773,4.4443,5.5185)
(-0.5042,1.1638,-3.0885,0.9713)
(-1.8300,2.5279,-3.9396,-14.0428)
(2.4451,-3.0366,0.2169,15.1903)
(-4.0431,4.4305,-4.7835,-18.8226)
(2.2355,0.3157,1.9877,7.6297)
(-1.1994,-2.9962,-1.4916,10.5656)
(3.7047,-4.5534,-2.4029,15.4420)
(2.3019,-4.4182,-4.6820,16.7363)
(2.2678,-4.3586,-1.6501,14.3233)
(1.1978,-4.8572,-0.2472,27.0297)
(2.5240,4.0728,2.5510,4.2586)
(-2.7048,1.8268,3.8034,5.4732)
(1.8860,3.5305,-4.1370,-7.0795)
(-0.1906,-3.9679,2.2249,12.9306)
(-1.2502,2.6340,-4.6885,-18.5652)
(1.1941,1.3850,-3.7097,6.7159)
(1.9113,2.8069,-2.7491,1.5491)
(-3.6004,1.7455,4.4007,-3.5487)
(-3.6790,-1.6482,-0.1687,11.1494)
(4.7892,4.2671,0.5703,-1.7302)
(1.4982,2.4436,3.2515,4.0419)
(-3.0825,-0.4602,1.7664,11.7792)
(-1.4760,2.3007,3.6670,-4.0661)
(4.3006,2.5956,-0.2815,2.5956)
(2.3060,3.5140,-1.5943,10.4218)
(-4.5182,-2.0838,-2.1658,7.1405)
(-3.9159,-1.4999,1.3352,1.1365)
(-2.4618,-0.7020,-3.4765,1.9940)
(-3.2834,-3.3616,-1.7818,4.5898)
(-0.9956,2.2068,-1.0133,1.8450)
(-4.9568,4.1182,-0.6176,-22.3618)
