(1.5001,-5.7608,1.0000)
(-1.7254,-0.0860,0.0000)
(1.3876,-1.2798,1.0000)
(-3.8173,0.6497,0.0000)
(4.1515,-1.8821,1.0000)
(-1.8200,-1.5799,1.0000)
(5.4206,-3.6142,1.0000)
(-4.8221,-2.2596,0.0000)
(-3.8430,0.5523,0.0000)
(-0.4371,2.5172,0.0000)
(-2.3916,2.0830,0.0000)
(3.0081,2.3074,1.0000)
(-3.9647,0.1516,1.0000)
(0.5364,4.2605,0.0000)
(-0.1344,-4.8318,1.0000)
(-0.5741,-3.5483,1.0000)
(5.2858,-2.0037,1.0000)
(5.3230,0.7507,0.0000)
(-0.2641,5.5631,0.0000)
(-1.8078,5.8222,1.0000)
(-0.1279,3.1783,0.0000)
(-2.2741,-2.3722,1.0000)
(-5.5062,-2.9029,0.0000)
(-4.9122,-4.2339,0.0000)
(0.4575,-5.2799,1.0000)
(-3.2384,0.1608,0.0000)
(-0.9399,-5.1054,1.0000)
(-3.3359,-1.3318,0.0000)
(2.0881,-0.0221,1.0000)
(3.8343,4.5761,0.0000)
(-3.7251,5.3073,0.0000)
(4.9090,-2.5680,1.0000)
(3.2526,2.4402,1.0000)
(3.5890,-1.0220,1.0000)
(-1.4670,0.7793,0.0000)
(2.7498,4.0325,0.0000)
(5.0136,2.4423,0.0000)
(-1.4606,-3.9993,0.0000)
(-2.4019,0.2023,0.0000)
(-5.2744,-2.1570,0.0000)
(4.9685,1.7172,1.0000)
(-4.1343,-4.4188,0.0000)
(-1.1555,0.7157,0.0000)
(4.6682,2.2746,1.0000)
(-4.8630,2.8628,1.0000)
(-1.7546,4.1069,0.0000)
(0.9055,5.3662,0.0000)
(1.9464,-2.1336,1.0000)
(4.0846,4.9849,1.0000)
(-1.6990,1.1251,0.0000)
(-0.8662,-5.2010,1.0000)
(1.4523,-4.2899,1.0000)
(-5.9139,-4.0940,0.0000)
(-5.6134,-5.3331,0.0000)
(-1.4419,-0.0674,0.0000)
(5.7884,1.3342,0.0000)
(0.3314,-2.8631,1.0000)
(2.8491,4.3919,0.0000)
(1.6848,4.8761,0.0000)
(3.1368,2.1320,1.0000)
(4.6069,-5.8530,1.0000)
(0.4107,4.4558,0.0000)
(-1.2754,-1.2963,0.0000)
(0.5459,-4.3347,1.0000)
(-5.5247,-1.5502,0.0000)
(4.7563,-4.9307,1.0000)
(2.4405,2.5078,1.0000)
(1.8228,-2.9027,1.0000)
(-2.8403,3.6880,0.0000)
(-3.1692,4.3705,0.0000)
(4.3249,-0.1951,1.0000)
(-0.1090,0.0645,0.0000)
(-3.7551,4.2485,0.0000)
(5.8088,4.7306,1.0000)
(-3.2484,4.9688,0.0000)
(1.1883,3.6615,0.0000)
(2.9662,-0.5324,0.0000)
(2.7819,2.8443,1.0000)
(4.0853,1.8943,1.0000)
(-4.1328,1.9608,0.0000)
(3.3545,4.6346,0.0000)
(-0.0201,5.1168,0.0000)
(-3.5283,2.7572,0.0000)
(-1.7521,-2.7110,1.0000)
(1.9780,1.2936,0.0000)
(-0.4315,-3.7940,1.0000)
(4.1703,-1.6644,1.0000)
(1.8264,-4.4342,1.0000)
(-5.3556,-5.3265,0.0000)
(-1.5314,3.5383,0.0000)
(5.7394,5.0288,1.0000)
(2.2426,5.9977,0.0000)
(-5.2373,0.1319,0.0000)
(-3.9882,-3.6953,0.0000)
(-3.5016,-0.3107,0.0000)
(5.9595,0.6096,1.0000)
(-3.4691,-5.6011,1.0000)
(-2.9526,1.3703,0.0000)
